[2024-09-01 19:37:56,478: INFO: main: Welcome to our custom log]
[2024-09-06 12:14:28,540: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-06 12:16:40,018: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-06 12:18:39,639: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-06 12:18:42,812: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-06 12:19:18,409: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-06 12:19:18,414: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-06 12:19:18,417: INFO: common: created directory at: artifacts]
[2024-09-06 12:19:18,419: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-06 12:19:18,419: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-09-06 12:19:25,356: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-09-06 13:15:07,436: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-09-06 13:15:07,438: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-06 13:15:07,439: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-06 13:15:07,439: INFO: common: created directory at: artifacts]
[2024-09-06 13:15:07,440: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-06 13:15:07,440: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-09-06 13:15:15,166: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-09-06 13:15:15,535: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
